,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
たぶん,0.748,0.661,5,-6.702,1,0.0334,0.157,0.00102,0.101,0.743,90.003,398dL22bDbKbAmiOnPaq7o,256773
真夜中のドア / STAY WITH ME,0.589,0.865,5,-4.056,1,0.0345,0.00734,0.0,0.343,0.682,106.519,7pFNLw96R1V5Yxwu0Pw3ie,311381
summertime,0.714,0.68,5,-8.865,0,0.0302,0.204,4.52e-05,0.195,0.741,132.007,7LK57zleDwSvI6JwZv0LOV,272938
RIDE ON TIME,0.648,0.905,4,-4.37,1,0.049,0.0438,0.000473,0.043,0.663,120.466,7a6Gj71tooMRmxcZwdGNnh,275755
RIDE ON TIME,0.655,0.849,11,-4.008,0,0.0426,0.224,0.0,0.0529,0.701,119.965,78032GHRcUBBCFxpRBQcnH,276040
Shiawasenomonosashi,0.7,0.814,4,-4.84,1,0.054,0.18,0.0,0.105,0.809,118.902,5iUjWA0lGW4TXr6KJs6Y0r,327147
Renai Circulation,0.78,0.752,1,-9.46,0,0.0367,0.665,0.000137,0.39,0.862,119.985,5pnemqRjX8RmEvgdmAIsH9,255361
summertime,0.688,0.704,3,-6.315,1,0.0303,0.104,0.0,0.0672,0.849,131.969,172zA5Yn0YzayQWvEJuGAm,251818
群青,0.725,0.853,10,-3.193,1,0.0516,0.305,0.0,0.115,0.707,134.991,1zd35Y44Blc1CwwVbW3Qnk,248027
アンコール,0.682,0.669,2,-4.741,1,0.0275,0.283,1e-06,0.145,0.831,81.999,465JzFiajJO59sUrDFsxdC,271440
ハルカ,0.712,0.817,1,-5.123,1,0.0279,0.0717,7.21e-06,0.146,0.679,100.016,5D9MPWdY2hjSeTIGE5n5kv,243613
Answer,0.622,0.475,0,-6.199,1,0.036,0.512,0.0,0.127,0.388,79.954,5hVAQTNarrb3lmWqg9Ens4,246000
優しい彗星,0.707,0.709,5,-4.293,1,0.033,0.179,0.0,0.142,0.59,89.989,5MUb136to9lnJLfIy5FZKI,213240
正しくなれない,0.648,0.679,5,-3.959,1,0.0361,0.036,5.46e-06,0.127,0.484,118.67,2FHexlZenTsS3lsjUYHiDx,240067
Ao No Waltz,0.417,0.52,3,-4.872,1,0.0324,0.19,0.0,0.0783,0.346,123.934,1AfFUID69eG8hOkkc3asNM,277337
Comedy,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,5SuOikwiRyPMVoIQDJUgSV,230667
再会 (produced by Ayase),0.713,0.606,7,-5.718,0,0.0328,0.315,0.0,0.262,0.492,90.005,52IsIvHidofM9JMjw78Jyz,242167
夜に駆ける,0.663,0.871,8,-5.287,1,0.03,0.00299,1.8e-06,0.337,0.826,130.025,6MCjmGYlw6mQVWRFVgBRvB,258840
あの夢をなぞって,0.534,0.794,8,-3.738,1,0.0402,0.334,0.00093,0.159,0.711,179.976,5ptl2PXkiSth54HCuGO7vN,240747
フィクション,0.658,0.94,2,-2.427,1,0.0339,0.144,0.0,0.101,0.694,122.992,543jStmHR1VrSfpxmjUIn6,230760
オレンジ(オーケストラver.),0.327,0.515,7,-5.457,1,0.0328,0.318,0.0,0.149,0.213,172.001,1fQLaA7W1DsjxDN5uAvby6,360573
オレンジ-Acoustic Ver.-,0.465,0.305,7,-6.085,1,0.0358,0.738,0.0,0.171,0.422,163.066,2itdJNFPqsbt5ZYqNlUsam,339120
オレンジ-アニメ Ver.-,0.409,0.411,7,-6.479,1,0.0306,0.466,0.0,0.306,0.666,85.737,2N7BABQ3Dlfphk0cCVXMDX,92000
ハルジオン,0.687,0.873,8,-3.852,1,0.0335,0.0545,0.0,0.318,0.884,130.024,08YwAPnX8sygJUXG9rvhDv,198600
MILABO,0.789,0.866,6,-3.374,1,0.064,0.235,4.6e-05,0.0708,0.928,126.975,22EZUYCJYay1h8YSyO5BPd,269413
